datetime,close,open,high,low,trade_type,signals
06-03-2022 17:00,2630.64,2644.65,2647.65,2625.08,NONE,0
06-03-2022 18:00,2622.4,2630.64,2639.43,2616.71,NONE,0
06-03-2022 19:00,2606.07,2622.39,2627.77,2602.09,NONE,0
06-03-2022 20:00,2616.43,2606.08,2621.9,2603,NONE,0
06-03-2022 21:00,2628.33,2616.57,2644,2611.69,NONE,0
06-03-2022 22:00,2628.25,2628.33,2643.89,2625.17,NONE,0
06-03-2022 23:00,2549.37,2628.25,2631.88,2529,ENTRY SHORT,-1
07-03-2022 00:00,2540.72,2549.36,2552.69,2511,HOLD SHORT,0
07-03-2022 01:00,2544.2,2540.73,2557.03,2538.47,HOLD SHORT,0
07-03-2022 02:00,2520,2544.2,2548.85,2505.15,HOLD SHORT,0
07-03-2022 03:00,2523.93,2520,2528,2507.23,HOLD SHORT,0
07-03-2022 04:00,2524.51,2523.93,2531.86,2518.15,HOLD SHORT,0
07-03-2022 05:00,2529.07,2524.51,2541.45,2517.59,HOLD SHORT,0
07-03-2022 06:00,2536.9,2529.06,2537.95,2526.27,HOLD SHORT,0
07-03-2022 07:00,2519.5,2536.9,2539.73,2512.31,HOLD SHORT,0
07-03-2022 08:00,2531.81,2519.5,2534.91,2481.99,HOLD SHORT,0
07-03-2022 09:00,2529.5,2531.81,2547,2526.53,HOLD SHORT,0
07-03-2022 10:00,2521,2529.49,2533.13,2517.13,HOLD SHORT,0
07-03-2022 11:00,2536.86,2520.99,2542.42,2517.9,HOLD SHORT,0
07-03-2022 12:00,2558.29,2536.85,2573.27,2536.85,HOLD SHORT,0
07-03-2022 13:00,2618.99,2558.29,2627,2554.09,EXIT SHORT,1
07-03-2022 14:00,2609.58,2618.92,2650,2609.58,NONE,0
07-03-2022 15:00,2616.51,2609.58,2620.5,2592.55,NONE,0
07-03-2022 16:00,2592.97,2616.51,2639,2590.09,NONE,0
07-03-2022 17:00,2569.34,2592.98,2593.35,2564.72,NONE,0
07-03-2022 18:00,2521.46,2569.33,2569.34,2511.68,NONE,0
07-03-2022 19:00,2458.67,2521.45,2525.77,2431.62,NONE,0
07-03-2022 20:00,2466.17,2458.68,2483.61,2443,NONE,0
07-03-2022 21:00,2482.46,2466.02,2503.42,2459.99,NONE,0
07-03-2022 22:00,2503.17,2482.46,2526.76,2478.68,NONE,0
07-03-2022 23:00,2489.9,2503.17,2525.81,2484,NONE,0
08-03-2022 00:00,2517.91,2489.84,2527.49,2478.35,NONE,0
08-03-2022 01:00,2522.56,2517.91,2547.88,2505.44,NONE,0
08-03-2022 02:00,2546.1,2522.62,2572.29,2513.38,NONE,0
08-03-2022 03:00,2548.31,2546.1,2552.5,2533.39,NONE,0
08-03-2022 04:00,2540.01,2548.31,2563.69,2536.43,NONE,0
08-03-2022 05:00,2523.07,2540.01,2545.46,2513.63,NONE,0
08-03-2022 06:00,2516.26,2523.2,2534.5,2493.66,NONE,0
08-03-2022 07:00,2535.25,2516.25,2544.89,2510.84,NONE,0
08-03-2022 08:00,2569.01,2535.08,2587.94,2525.79,NONE,0
08-03-2022 09:00,2584.5,2569.01,2593.01,2564.2,NONE,0
